participantId,trialId,condition,correctness,duration_seconds
653ad51a96ba72b4243e5c07,Organizations-Both-Q1,Both,100.0,125.192
653ad51a96ba72b4243e5c07,Tennis-Vis-Q1,VIS,87.5,101.122
659ea43fea7c0cc45bbe771f,Covid-Both-Q1,Both,100.0,118.111
659ea43fea7c0cc45bbe771f,Organizations-Vis-Q1,VIS,100.0,99.604
659ea43fea7c0cc45bbe771f,Tennis-Text-Q1,Text,62.5,119.363
65da51b212ad91d9df1913fd,Covid-Both-Q1,Both,87.5,53.369
65da51b212ad91d9df1913fd,Organizations-Text-Q1,Text,87.5,114.052
65da51b212ad91d9df1913fd,Tennis-Vis-Q1,VIS,87.5,39.981
663e5c83c1599fe4e23d98ae,Covid-Both-Q1,Both,62.5,91.304
663e5c83c1599fe4e23d98ae,Organizations-Text-Q1,Text,87.5,61.925
663e5c83c1599fe4e23d98ae,Tennis-Vis-Q1,VIS,75.0,43.455
66469f5d40d395a527be84c8,Covid-Both-Q1,Both,87.5,245.06
66469f5d40d395a527be84c8,Organizations-Text-Q1,Text,87.5,490.55400000000003
66469f5d40d395a527be84c8,Tennis-Vis-Q1,VIS,75.0,511.51000000000005
6655a626a0a93488c8fb143b,Covid-Both-Q1,Both,100.0,51.467
6655a626a0a93488c8fb143b,Organizations-Text-Q1,Text,100.0,106.307
6655a626a0a93488c8fb143b,Tennis-Vis-Q1,VIS,87.5,74.766
6658bba67f3c13a15a86d803,Covid-Text-Q1,Text,87.5,147.404
6658bba67f3c13a15a86d803,Organizations-Both-Q1,Both,100.0,52.627
6658bba67f3c13a15a86d803,Tennis-Vis-Q1,VIS,87.5,46.811
6658cf093c3b7a255aeae9eb,Covid-Vis-Q1,VIS,100.0,147.508
6658cf093c3b7a255aeae9eb,Organizations-Text-Q1,Text,100.0,267.994
6658cf093c3b7a255aeae9eb,Tennis-Both-Q1,Both,100.0,181.416
6659e2efdb732dbd7f707a98,Covid-Both-Q1,Both,100.0,114.734
6659e2efdb732dbd7f707a98,Organizations-Text-Q1,Text,87.5,175.643
6659e2efdb732dbd7f707a98,Tennis-Vis-Q1,VIS,87.5,45.582
665c72ef8e6e166f13aee9f6,Covid-Text-Q1,Text,62.5,293.87199999999996
665c72ef8e6e166f13aee9f6,Organizations-Vis-Q1,VIS,62.5,123.71100000000001
665c72ef8e6e166f13aee9f6,Tennis-Both-Q1,Both,87.5,367.274
665f9223c7db27a5d32d81ab,Covid-Text-Q1,Text,87.5,188.69
665f9223c7db27a5d32d81ab,Organizations-Both-Q1,Both,100.0,134.84300000000002
665f9223c7db27a5d32d81ab,Tennis-Vis-Q1,VIS,87.5,151.438
6664661dece3c191d9dd5ab2,Covid-Both-Q1,Both,100.0,94.70400000000001
6664661dece3c191d9dd5ab2,Organizations-Text-Q1,Text,100.0,304.09299999999996
6664661dece3c191d9dd5ab2,Tennis-Vis-Q1,VIS,87.5,106.324
6668c49e07ce221e29f2bc5a,Covid-Both-Q1,Both,100.0,58.089999999999996
6668c49e07ce221e29f2bc5a,Organizations-Vis-Q1,VIS,100.0,82.538
6668c49e07ce221e29f2bc5a,Tennis-Text-Q1,Text,100.0,156.06799999999998
666c6ddc652f38b0355bc344,Covid-Vis-Q1,VIS,87.5,63.39900000000001
666c6ddc652f38b0355bc344,Organizations-Text-Q1,Text,100.0,111.467
666c6ddc652f38b0355bc344,Tennis-Both-Q1,Both,87.5,64.75399999999999
666cb540cd1f9d9f05c12105,Covid-Both-Q1,Both,100.0,151.903
666cb540cd1f9d9f05c12105,Organizations-Vis-Q1,VIS,100.0,312.281
666cb540cd1f9d9f05c12105,Tennis-Text-Q1,Text,100.0,106.576
666ffa40c99c2f9c3a47e3e4,Covid-Vis-Q1,VIS,100.0,156.871
666ffa40c99c2f9c3a47e3e4,Organizations-Text-Q1,Text,100.0,350.84099999999995
666ffa40c99c2f9c3a47e3e4,Tennis-Both-Q1,Both,75.0,136.25
6672eb5ae4c4aa0c62b18d46,Covid-Vis-Q1,VIS,100.0,139.81
6672eb5ae4c4aa0c62b18d46,Organizations-Text-Q1,Text,87.5,257.848
6672eb5ae4c4aa0c62b18d46,Tennis-Both-Q1,Both,62.5,289.802
6678757b671f246b4c1b4f6c,Covid-Vis-Q1,VIS,100.0,102.98599999999999
6678757b671f246b4c1b4f6c,Organizations-Both-Q1,Both,100.0,81.727
6678757b671f246b4c1b4f6c,Tennis-Text-Q1,Text,62.5,110.49199999999999
667ae30569196599fa6b0ba9,Covid-Vis-Q1,VIS,100.0,74.359
667ae30569196599fa6b0ba9,Organizations-Both-Q1,Both,100.0,220.981
667ae30569196599fa6b0ba9,Tennis-Text-Q1,Text,87.5,124.14299999999999
6681577c9263349cc005ad9b,Covid-Text-Q1,Text,75.0,254.90900000000002
6681577c9263349cc005ad9b,Organizations-Both-Q1,Both,100.0,423.207
6681577c9263349cc005ad9b,Tennis-Vis-Q1,VIS,87.5,154.486
668221ef283ed3e39954487f,Covid-Vis-Q1,VIS,87.5,100.29599999999999
668221ef283ed3e39954487f,Organizations-Both-Q1,Both,62.5,156.575
668221ef283ed3e39954487f,Tennis-Text-Q1,Text,87.5,80.19200000000001
6684089a4c68d1a42da1cfaa,Covid-Vis-Q1,VIS,100.0,50.87
6684089a4c68d1a42da1cfaa,Organizations-Both-Q1,Both,100.0,52.127
6684089a4c68d1a42da1cfaa,Tennis-Text-Q1,Text,75.0,71.819
6684445f6894372c54825fd4,Covid-Text-Q1,Text,100.0,157.767
6684445f6894372c54825fd4,Organizations-Vis-Q1,VIS,50.0,161.987
6684445f6894372c54825fd4,Tennis-Both-Q1,Both,100.0,118.942
6689878009ea0b87ff9b6ddc,Covid-Vis-Q1,VIS,100.0,65.74600000000001
6689878009ea0b87ff9b6ddc,Organizations-Both-Q1,Both,100.0,62.971
6689878009ea0b87ff9b6ddc,Tennis-Text-Q1,Text,87.5,67.622
6695703cec19c758ec8dbd7c,Covid-Both-Q1,Both,100.0,107.979
6695703cec19c758ec8dbd7c,Organizations-Text-Q1,Text,100.0,278.749
6695703cec19c758ec8dbd7c,Tennis-Vis-Q1,VIS,87.5,176.945
669588e8ad1745596a02a04b,Covid-Text-Q1,Text,62.5,131.826
669588e8ad1745596a02a04b,Organizations-Vis-Q1,VIS,87.5,90.141
669588e8ad1745596a02a04b,Tennis-Both-Q1,Both,50.0,49.304
66962f162372082a3647f572,Covid-Both-Q1,Both,100.0,74.875
66962f162372082a3647f572,Organizations-Vis-Q1,VIS,100.0,81.563
